"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "MS SQL", "comment", "blank", "total"
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\actions\shows.ts", "TypeScript", 560, 0, 0, 0, 0, 86, 646
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\actions\supplies.ts", "TypeScript", 107, 0, 0, 0, 0, 29, 136
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\actions\team-structure.ts", "TypeScript", 126, 0, 0, 0, 0, 26, 152
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\actions\users.ts", "TypeScript", 698, 0, 0, 0, 1, 121, 820
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\actions\vendor-service-area-editor.tsx", "TypeScript JSX", 0, 288, 0, 0, 0, 35, 323
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\actions\vendor-service-areas.ts", "TypeScript", 214, 0, 0, 0, 0, 41, 255
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\actions\vendors.ts", "TypeScript", 362, 0, 0, 0, 0, 62, 424
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\actions\venues.ts", "TypeScript", 142, 0, 0, 0, 0, 26, 168
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\api\show-vendor-conflicts\route.ts", "TypeScript", 37, 0, 0, 0, 0, 8, 45
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\api\shows\[showId]\budget-export\route.ts", "TypeScript", 515, 0, 0, 0, 0, 70, 585
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\api\stripe\checkout\route.ts", "TypeScript", 54, 0, 0, 0, 0, 11, 65
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\api\stripe\portal\route.ts", "TypeScript", 32, 0, 0, 0, 0, 6, 38
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\api\stripe\webhook\route.ts", "TypeScript", 7, 0, 0, 0, 0, 1, 8
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\finish-setup\page.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 10, 61
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\globals.css", "PostCSS", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\invite\page.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 8, 44
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\layout.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 0, 12
"c:\Users\Dale\Desktop\clean-signal-saas\src\app\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 1, 5
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\app-shell.tsx", "TypeScript JSX", 0, 139, 0, 0, 0, 24, 163
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\audit\audit-log-table.tsx", "TypeScript JSX", 0, 304, 0, 0, 0, 40, 344
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\auth\accept-invite-form.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 16, 124
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\budget\freelancer-rating-modal.tsx", "TypeScript JSX", 0, 120, 0, 0, 0, 19, 139
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\dashboard\dashboard-chart-filter.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 2, 33
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\dashboard\dashboard-expanded-row.tsx", "TypeScript JSX", 0, 43, 0, 0, 0, 5, 48
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\dashboard\dashboard-filtered-chart.tsx", "TypeScript JSX", 0, 112, 0, 0, 0, 13, 125
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\dashboard\dashboard-shell.tsx", "TypeScript JSX", 0, 91, 0, 0, 0, 13, 104
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\dashboard\dashboard-show-row.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 5, 56
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\dashboard\dashboard-show-table.tsx", "TypeScript JSX", 0, 158, 0, 0, 0, 14, 172
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\dashboard\leadership-dashboard-shell.tsx", "TypeScript JSX", 0, 199, 0, 0, 0, 24, 223
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\dashboard\leadership-pm-group.tsx", "TypeScript JSX", 0, 139, 0, 0, 0, 19, 158
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\dashboard\quarterly-profit-breakdown.tsx", "TypeScript JSX", 0, 199, 0, 0, 0, 26, 225
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\gear\gear-filter-bar.tsx", "TypeScript JSX", 0, 52, 0, 0, 0, 3, 55
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\gear\gear-form-modal.tsx", "TypeScript JSX", 0, 106, 0, 0, 0, 15, 121
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\gear\gear-page-shell.tsx", "TypeScript JSX", 0, 83, 0, 0, 0, 14, 97
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\gear\gear-status-badge.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 11
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\gear\gear-table.tsx", "TypeScript JSX", 0, 90, 0, 0, 0, 6, 96
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\supplies\supplies-filter-bar.tsx", "TypeScript JSX", 0, 34, 0, 0, 0, 2, 36
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\supplies\supplies-page-shell.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 12, 80
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\supplies\supplies-table.tsx", "TypeScript JSX", 0, 87, 0, 0, 0, 6, 93
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\supplies\supply-form-modal.tsx", "TypeScript JSX", 0, 99, 0, 0, 0, 14, 113
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\supplies\supply-status-badge.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 11
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\vendors\vendor-filter-bar.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 4, 53
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\vendors\vendor-form-modal.tsx", "TypeScript JSX", 0, 152, 0, 0, 0, 19, 171
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\vendors\vendor-page-shell.tsx", "TypeScript JSX", 0, 78, 0, 0, 0, 11, 89
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\vendors\vendor-status-badge.tsx", "TypeScript JSX", 0, 11, 0, 0, 0, 0, 11
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\vendors\vendor-table.tsx", "TypeScript JSX", 0, 102, 0, 0, 0, 6, 108
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\venues\venue-form-modal.tsx", "TypeScript JSX", 0, 149, 0, 0, 0, 21, 170
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\venues\venue-status-badge.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 0, 13
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\venues\venues-filter-bar.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 3, 38
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\venues\venues-page-shell.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 13, 90
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\master-data\venues\venues-table.tsx", "TypeScript JSX", 0, 115, 0, 0, 0, 10, 125
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\platform-admin\admin-organizations-page-shell.tsx", "TypeScript JSX", 0, 303, 0, 0, 0, 48, 351
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\settings\organization-users-page-shell.tsx", "TypeScript JSX", 0, 510, 0, 0, 0, 57, 567
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\settings\profile-settings-form.tsx", "TypeScript JSX", 0, 82, 0, 0, 0, 13, 95
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\settings\team-invite-panel.tsx", "TypeScript JSX", 0, 179, 0, 0, 0, 20, 199
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\settings\team-structure-panel.tsx", "TypeScript JSX", 0, 112, 0, 0, 0, 13, 125
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\023_fix_show_memberships_assignment_type.sql", "MS SQL", 0, 0, 0, 21, 0, 6, 27
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\add-line-item-modal.tsx", "TypeScript JSX", 0, 389, 0, 0, 0, 36, 425
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\budget-line-form-vendor.tsx", "TypeScript JSX", 0, 276, 0, 0, 0, 29, 305
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\budget-sheet-section.tsx", "TypeScript JSX", 0, 184, 0, 0, 0, 24, 208
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\budget-sheet-table.tsx", "TypeScript JSX", 0, 166, 0, 0, 0, 24, 190
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\budget-summary-card.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 6, 36
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\edit-line-item-modal.tsx", "TypeScript JSX", 0, 355, 0, 0, 0, 30, 385
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\gear-budget-section.tsx", "TypeScript JSX", 0, 137, 0, 0, 0, 18, 155
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\nearby-partners-panel.tsx", "TypeScript JSX", 0, 317, 0, 0, 0, 31, 348
"c:\Users\Dale\Desktop\clean-signal-saas\src\components\show-detail\show-details-form.tsx", "TypeScript JSX", 0, 203, 0, 0, 0, 23, 226
